ID,Living,CellPhone,CellMinutes,CreditCard,Balance,GPA,WorkHrs,IdealChild,ParentsChild,CarAge,JobMkt,Politics,Religious,LanguageSkill,Newspaper,Textbook,UsedElectronic?,PreferElecronic,PCAccess,OpSystem,Linux,iPod
119,Parents,Verizon,short,Mastercard,Moderate,3.55,none,two,two,Very new,Good,conservative,very religious,Slight,Regularly,Campus store,YES,Neither,Always,Windows,No,Both
120,Parents,Verizon,short,Mastercard,Moderate,3.02,long,three,four,New,Good,very conservative,very religious,Slight,Occasionally,On-line,YES,Strongly Agree,Rarely,Windows,What's Linux?,Neither
121,Parents,Verizon,average,Visa,Very high ,3.2,moderate,two,three,New,Good,neither,very religious,Slight,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,What's Linux?,Both
122,Parents,Sprint,very long,Visa,Very high ,3.5,long,two,two,Fairly new,Somewhat good,conservative,very religious,Moderate,Occasionally,Campus store,NO,Neither,Rarely,Windows,What's Linux?,iPod only
123,Parents,Cingular,long ,Mastercard,High ,3.72,moderate,two,four,Very new,Somewhat good,somewhat liberal,somewhat religious,Moderate,Regularly,Campus store,YES,Strongly Agree,Often,Windows,No,MP3 only
124,Parents,Verizon,very long,Visa,Moderate,2.67,moderate,two,three,Old,Good,somewhat liberal,religious,None,Occasionally,On-line,YES,Disagree,Always,Windows,No,Neither
125,Solo Apt,Cingular,long ,Mastercard,Very high ,3.5,long,one,three,Very new,Somewhat good,neither,Not religious,Moderate,Occasionally,Campus store,NO,Somehwhat agree,Always,Mac,No,iPod only
126,Parents,Sprint,very short,Visa,High ,2.56,long,two,three,Very new,Somewhat good,somewhat conservative,religious,Slight,Occasionally,Campus store,NO,Agree,Never,Windows,What's Linux?,Neither
127,Parents,Verizon,very long,Visa,High ,2.7,long,two,two,Very new,Neither,neither,somewhat religious,Slight,Occasionally,Campus store,NO,Disagree,Often,Windows,What's Linux?,MP3 only
128,Parents,Verizon,very long,Visa,High ,3.9,long,three,three,New,Good,conservative,religious,Moderate,Never,On-line,YES,Neither,Always,Windows,What's Linux?,iPod only
129,Parents,Verizon,average,Visa,Moderate,2.2,long,three,two,Fairly old,Good,conservative,Not religious,Slight,Occasionally,No book,NO,Disagree,Never,Windows,What's Linux?,iPod only
130,Parents,Cingular,average,Mastercard,Low,3,long,three,four,New,Good,very conservative,very religious,Slight,Occasionally,Campus store,YES,Agree,Always,Windows,No,MP3 only
131,Share Apt,Nextel,very long,Visa,None,3.3,none,two,two,Old,Neither,somewhat liberal,religious,Slight,Occasionally,On-line,YES,Neither,Often,Windows,No,MP3 only
132,Share Apt,Verizon,short,None,Very high ,2.8,long,two,four,Old,Neither,very conservative,Not religious,Slight,Regularly,Other student,NO,Somewhat agree,Always,Windows,Yes,MP3 only
133,Solo Apt,T-Mobile,short,Visa,Very high ,3.68,moderate,two,four,Fairly old,Neither,somewhat liberal,Not religious,Slight,Occasionally,Campus store,NO,Somehwhat agree,Never,Windows,What's Linux?,iPod only
134,Parents,Sprint,average,Visa,Very high ,2.61,long,three,three,Old,Good,somewhat liberal,religious,Moderate,Regularly,On-line,NO,Somewhat agree,Always,Windows,No,iPod only
135,Parents,T-Mobile,average,Mastercard,None,2.7,long,two,three,Old,Somewhat good,somewhat liberal,religious,Fluent,Never,Campus store,NO,Strongly Agree,Always,Windows,No,MP3 only
136,Parents,Cingular,average,Visa,Very high ,3.6,none,two,two,New,Very good,somewhat liberal,Not religious,None,Never,On-line,NO,Disagree,Always,Windows,No,iPod only
137,Dorm,T-Mobile,long ,Mastercard,Moderate,2.5,moderate,four,three,Very Old,Somewhat good,neither,somewhat religious,Slight,Occasionally,Campus store,NO,Strongly Agree,Always,Windows,No,Neither
138,Parents,Cingular,very long,Visa,Very high ,3.92,moderate,two,one,Fairly new,Good,liberal,Not religious,Fluent,Occasionally,On-line,NO,Somewhat agree,Always,Windows,What's Linux?,iPod only
139,Share Apt,Nextel,very long,Visa,Moderate,3,long,three,three,Old,Neither,liberal,Not religious,Fluent,Occasionally,Campus store,YES,Neither,Never,Windows,What's Linux?,iPod only
140,Parents,Verizon,very long,Visa,Low,3.34,long,two,four,Fairly old,Good,liberal,very religious,Fluent,Occasionally,On-line,NO,Somewhat agree,Never,Windows,No,MP3 only
141,Parents,Cingular,average,Visa,Low,3.4,long,three,five ,Very new,Good,neither,religious,Slight,Occasionally,Campus store,NO,Agree,Never,Windows,No,MP3 only
142,Parents,Verizon,short,Visa,Very high ,2.5,long,two,three,Fairly new,Somewhat good,somewhat liberal,somewhat religious,Slight,Occasionally,Campus store,NO,Neither,Never,Windows,Yes,iPod only
143,Parents,Sprint,long ,Visa,High ,3.15,long,two,two,Old,Good,liberal,Not religious,None,Occasionally,Campus store,YES,Neither,Rarely,Windows,No,iPod only
144,Parents,Verizon,very short,Visa,High ,3.58,moderate,two,two,Fairly new,Good,neither,Not religious,Moderate,Occasionally,Campus store,YES,Agree,Never,Windows,No,MP3 only
145,Parents,T-Mobile,very long,Visa,Moderate,3.81,long,two,two,Very new,Bad,somewhat liberal,very religious,Slight,Never,Campus store,NO,Disagree,Always,Windows,No,iPod only
146,Parents,Nextel,average,Visa,High ,3.2,long,three,three,Fairly new,Very good,neither,religious,Slight,Occasionally,Campus store,NO,Agree,Always,Windows,No,iPod only
147,Parents,Verizon,average,Mastercard,Low,2.8,moderate,two,two,Fairly old,Very good,neither,very religious,Slight,Regularly,Other retail,YES,Strongly Agree,Always,Mac,Yes,iPod only
148,Parents,Verizon,very long,Visa,Very high ,3.23,moderate,two,two,Fairly new,Good,somewhat liberal,very religious,Slight,Occasionally,Campus store,NO,Somehwhat agree,Never,Windows,No,Neither
149,Parents,T-Mobile,very long,Visa,Very high ,2.86,long,two,two,Fairly new,Neither,somewhat liberal,Not religious,Fluent,Occasionally,On-line,YES,Neither,Always,Windows,What's Linux?,iPod only
150,Share Apt,Verizon,very long,Visa,Very high ,2.4,long,two,two,Fairly new,Very good,neither,very religious,None,Occasionally,On-line,NO,Strongly Agree,Never,Windows,No,MP3 only
